cliente,idade,renda,divida,historico,pontuação
João,35,5000,2000,Bom,850.0
Maria,28,4000,1000,Bom,830.0
Carlos,45,6000,3000,Regular,850.0
Ana,30,4500,1500,Bom,850.0
Paulo,38,5500,2500,Bom,850.0
Laura,25,3500,800,Regular,705.0
Felipe,42,7000,4000,Bom,850.0
Isabela,33,4800,1800,Regular,850.0
Rafael,29,4200,1200,Bom,850.0
Juliana,40,5800,3500,Bom,850.0
Rodrigo,26,3200,600,Regular,670.0
Fernanda,37,5300,2800,Bom,850.0
Marcos,31,4700,1600,Bom,850.0
Carolina,43,6200,3800,Bom,850.0
Gustavo,27,3800,900,Bom,785.0
Amanda,36,5600,3200,Bom,850.0
Lucas,32,4900,2000,Bom,850.0
Camila,39,6000,3300,Bom,850.0
Eduardo,24,3000,500,Regular,615.0
Patrícia,34,5100,2200,Bom,850.0
Wagner,22,2500,1700, Ruim,300.0
Luciana,41,2500,4000,Ruim,300.0
Vinícius,29,2800,4500,Ruim,300.0
Larissa,26,2000,3500,Ruim,300.0
Roberto,45,3000,6000,Ruim,300.0
Mariana,37,3200,5000,Ruim,300.0
José,28,2500,4200,Ruim,300.0
Fernando,33,2700,4800,Ruim,300.0
Beatriz,30,2200,4000,Ruim,300.0
Thiago,35,2000,3000,Ruim,300.0
Julia,32,2300,3500,Ruim,300.0
